Category,v 2019  ,Plant ID,Plant Name,Unit,Status,Start Date,Retire Date,Prime mover ID,Prime Mover,Capacity,net MWh,Primary,Primary,Secondary,Secondary
,,,,,,,,,Description,,,Fuel Use MMBTU,Energy Source,Fuel Use MMBTU,Energy Source
S,2019,,,Tulare 1,OP,3/27/2014,,PV,Photovoltaic,1.5,2604.5,0,SUN,0,
S,2019,,,Tulare 2,OP,3/27/2014,,PV,Photovoltaic,1.5,2604.5,0,SUN,0,
S,2019,,,Unit 1,OP,12/27/2019,,PV,Photovoltaic,6.33,69,0,SUN,0,
S,2019,,,Unit 1,OP,10/1/2019,,PV,Photovoltaic,150,19410,0,SUN,0,
S,2019,,,Unit 1,OP,9/20/2018,,PV,Photovoltaic,2.5,6076,0,SUN,0,
S,2019,,,Unit 1,OP,9/26/2019,,PV,Photovoltaic,20,9307.01,0,SUN,0,
S,2019,,,Unit 1,OP,6/11/2019,,PV,Photovoltaic,1,1374,0,SUN,0,
S,2019,S0664,2 MW MCE Richmond Solar PV Project,Unit 1,OP,12/22/2017,,PV,Photovoltaic,2,3866,0,SUN,0,N/A
S,2019,S0665,8.5 MW MCE Richmond Solar PV Project,Unit 1,OP,12/22/2017,,PV,Photovoltaic,8.5,16346,0,SUN,0,N/A
W,2019,W0275,85A (Zond Systems Inc - 6043),WPRS 1,OP,11/13/1985,,WT,Wind Turbine,14.13,12078.3,0,WND,0,N/A
W,2019,W0276,85B (Zond Systems Inc - 6044),WPRS 1,OP,12/5/1985,,WT,Wind Turbine,21.15,16014.2,0,WND,0,N/A
S,2019,S9210,Abby Power LLC,Unit 1,OP,12/31/2014,,PV,Photovoltaic,1.5,2628,0,SUN,0,N/A
E,2019,E0257,ABEC Bidart-Old River LLC,1,OP,3/10/2014,,IC,"Internal Combustion Engine (diesel, piston)",2,12192,296268,OBG,0,UNK
S,2019,S0312,Adams East LLC,1,OP,12/1/2014,,PV,Photovoltaic,19,49490,0,SUN,0,UNK
S,2019,S0410,Adelanto Solar I,SAS1,OP,9/10/2015,,PV,Photovoltaic,20,60024,0,SUN,0,UNK
S,2019,S0411,Adelanto Solar II,SAS2,OP,7/15/2015,,PV,Photovoltaic,7,18283,0.01,SUN,0.01,UNK
S,2019,S0218,Adelanto Solar Power Project,1,OP,6/1/2012,,PV,Photovoltaic,10,12751,0,SUN,0,UNK
S,2019,S0421,Adera Solar,Unit 1,OP,12/1/2015,,PV,Photovoltaic,20,42336,0,SUN,0,UNK
S,2019,S0308,Adobe Solar,1,OP,5/1/2014,,PV,Photovoltaic,20,47608,0,SUN,0,UNK
S,2019,S9149,Advanced Micro Decives,1,OP,1/1/2012,,PV,Photovoltaic,3,4865,0,SUN,0,N/A
G,2019,G0802,AERA San Ardo Cogen Facility,Unit 1,OP,1/1/1989,,CS,Combined Cycle - Single Shaft,3,22867,382654,NG,0,UNK
G,2019,G0802,AERA San Ardo Cogen Facility,Unit 2,OP,1/1/1989,,CS,Combined Cycle - Single Shaft,3,23999,348443,NG,0,UNK
S,2019,S0116,Aerojet I (3.6MW) Solar Plant,Aerojet I,OP,12/23/2009,,PV,Photovoltaic,3.6,5923,0,SUN,0,UNK
S,2019,S0130,Aerojet II (2.4MW) Solar Plant,Aerojet II,OP,5/21/2010,,PV,Photovoltaic,2.4,3994,0,SUN,0,UNK
G,2019,G0221,Agnews Power Plant,AG1JT1,OP,4/1/1990,,CT,Combined Cycle - Combustion Turbine portion,22.8,5201.02,63472,NG,0,N/A
G,2019,G0221,Agnews Power Plant,AG1ST1,OP,4/1/1990,,CA,Combined Cycle - Steam Turbine portion,7.7,1188.04,0.09,NG,0,N/A
S,2019,S9200,Agua Caliente (Bena A),Unit 1,OP,12/31/2014,,PV,Photovoltaic,1.5,2628,0,SUN,0,N/A
S,2019,S0242,Agua Caliente Solar (AZ),1,OP,1/19/2012,,PV,Photovoltaic,290,717163,0,SUN,0,UNK
