Date,load,zone
1/1/2015 12:00:00 AM,10541.00,PGE
1/1/2015 12:00:00 AM,10658.00,SCE
1/1/2015 12:00:00 AM,2307.00,SDGE
1/1/2015 12:00:00 AM,87.00,VEA
1/1/2015 1:00:00 AM,10224.00,PGE
1/1/2015 1:00:00 AM,10266.00,SCE
1/1/2015 1:00:00 AM,2189.00,SDGE
1/1/2015 1:00:00 AM,87.00,VEA
1/1/2015 2:00:00 AM,9940.00,PGE
1/1/2015 2:00:00 AM,9947.00,SCE
1/1/2015 2:00:00 AM,2104.00,SDGE
1/1/2015 2:00:00 AM,88.00,VEA
1/1/2015 3:00:00 AM,9787.00,PGE
1/1/2015 3:00:00 AM,9765.00,SCE
1/1/2015 3:00:00 AM,2060.00,SDGE
1/1/2015 3:00:00 AM,90.00,VEA
1/1/2015 4:00:00 AM,9774.00,PGE
1/1/2015 4:00:00 AM,9753.00,SCE
1/1/2015 4:00:00 AM,2061.00,SDGE
1/1/2015 4:00:00 AM,94.00,VEA
1/1/2015 5:00:00 AM,9956.00,PGE
1/1/2015 5:00:00 AM,9915.00,SCE
1/1/2015 5:00:00 AM,2121.00,SDGE
1/1/2015 5:00:00 AM,99.00,VEA
1/1/2015 6:00:00 AM,10330.00,PGE
1/1/2015 6:00:00 AM,10168.00,SCE
1/1/2015 6:00:00 AM,2223.00,SDGE
1/1/2015 6:00:00 AM,105.00,VEA
1/1/2015 7:00:00 AM,10545.00,PGE
1/1/2015 7:00:00 AM,10080.00,SCE
1/1/2015 7:00:00 AM,2251.00,SDGE
1/1/2015 7:00:00 AM,107.00,VEA
1/1/2015 8:00:00 AM,10608.00,PGE
1/1/2015 8:00:00 AM,10040.00,SCE
1/1/2015 8:00:00 AM,2278.00,SDGE
1/1/2015 8:00:00 AM,101.00,VEA
1/1/2015 9:00:00 AM,10524.00,PGE
1/1/2015 9:00:00 AM,9837.00,SCE
1/1/2015 9:00:00 AM,2271.00,SDGE
1/1/2015 9:00:00 AM,90.00,VEA
1/1/2015 10:00:00 AM,10485.00,PGE
1/1/2015 10:00:00 AM,9803.00,SCE
1/1/2015 10:00:00 AM,2242.00,SDGE
1/1/2015 10:00:00 AM,83.00,VEA
1/1/2015 11:00:00 AM,10342.00,PGE
1/1/2015 11:00:00 AM,9672.00,SCE
1/1/2015 11:00:00 AM,2222.00,SDGE
1/1/2015 11:00:00 AM,75.00,VEA
