Date,Hour,load,zone
1/1/2017,0:00,2574,AZPS
1/1/2017,0:00,22382,CA ISO
1/1/2017,0:00,3620,NEVP
1/1/2017,0:00,4896,PACE
1/1/2017,0:00,2548,PACW
1/1/2017,0:00,10437,PGE
1/1/2017,0:00,3007,PSEI
1/1/2017,0:00,9848,SCE
1/1/2017,0:00,2031,SDGE
1/1/2017,0:00,66,VEA
1/1/2017,1:00,2503,AZPS
1/1/2017,1:00,21396,CA ISO
1/1/2017,1:00,3529,NEVP
1/1/2017,1:00,4797,PACE
1/1/2017,1:00,2494,PACW
1/1/2017,1:00,10011,PGE
1/1/2017,1:00,2907,PSEI
1/1/2017,1:00,9394,SCE
1/1/2017,1:00,1925,SDGE
1/1/2017,1:00,66,VEA
1/1/2017,2:00,2476,AZPS
1/1/2017,2:00,20652,CA ISO
1/1/2017,2:00,3477,NEVP
1/1/2017,2:00,4765,PACE
1/1/2017,2:00,2453,PACW
1/1/2017,2:00,9674,PGE
1/1/2017,2:00,2836,PSEI
1/1/2017,2:00,9062,SCE
1/1/2017,2:00,1850,SDGE
1/1/2017,2:00,66,VEA
1/1/2017,3:00,2473,AZPS
1/1/2017,3:00,20136,CA ISO
1/1/2017,3:00,3444,NEVP
1/1/2017,3:00,4766,PACE
1/1/2017,3:00,2445,PACW
1/1/2017,3:00,9447,PGE
1/1/2017,3:00,2818,PSEI
1/1/2017,3:00,8823,SCE
1/1/2017,3:00,1800,SDGE
1/1/2017,3:00,66,VEA
1/1/2017,4:00,2522,AZPS
1/1/2017,4:00,19979,CA ISO
1/1/2017,4:00,3443,NEVP
1/1/2017,4:00,4800,PACE
1/1/2017,4:00,2471,PACW
1/1/2017,4:00,9363,PGE
1/1/2017,4:00,2851,PSEI
1/1/2017,4:00,8761,SCE
1/1/2017,4:00,1787,SDGE
1/1/2017,4:00,68,VEA
1/1/2017,5:00,2606,AZPS
1/1/2017,5:00,20360,CA ISO
1/1/2017,5:00,3473,NEVP
1/1/2017,5:00,4884,PACE
1/1/2017,5:00,2532,PACW
1/1/2017,5:00,9509,PGE
1/1/2017,5:00,2952,PSEI
1/1/2017,5:00,8957,SCE
1/1/2017,5:00,1820,SDGE
1/1/2017,5:00,74,VEA
1/1/2017,6:00,2709,AZPS
1/1/2017,6:00,21032,CA ISO
1/1/2017,6:00,3508,NEVP
1/1/2017,6:00,5020,PACE
1/1/2017,6:00,2624,PACW
1/1/2017,6:00,9916,PGE
1/1/2017,6:00,3110,PSEI
1/1/2017,6:00,9146,SCE
1/1/2017,6:00,1889,SDGE
1/1/2017,6:00,81,VEA
1/1/2017,7:00,2768,AZPS
1/1/2017,7:00,21440,CA ISO
1/1/2017,7:00,3452,NEVP
1/1/2017,7:00,5109,PACE
1/1/2017,7:00,2825,PACW
1/1/2017,7:00,10365,PGE
1/1/2017,7:00,3288,PSEI
1/1/2017,7:00,9084,SCE
1/1/2017,7:00,1906,SDGE
1/1/2017,7:00,85,VEA
1/1/2017,8:00,2840,AZPS
1/1/2017,8:00,21584,CA ISO
1/1/2017,8:00,3423,NEVP
1/1/2017,8:00,5157,PACE
1/1/2017,8:00,2942,PACW
1/1/2017,8:00,10544,PGE
1/1/2017,8:00,3451,PSEI
1/1/2017,8:00,9039,SCE
1/1/2017,8:00,1921,SDGE
1/1/2017,8:00,80,VEA
1/1/2017,9:00,2733,AZPS
1/1/2017,9:00,21537,CA ISO
1/1/2017,9:00,3411,NEVP
1/1/2017,9:00,5194,PACE
1/1/2017,9:00,3023,PACW
1/1/2017,9:00,10630,PGE
1/1/2017,9:00,3588,PSEI
1/1/2017,9:00,8952,SCE
1/1/2017,9:00,1885,SDGE
1/1/2017,9:00,70,VEA
1/1/2017,10:00,2619,AZPS
1/1/2017,10:00,21415,CA ISO
1/1/2017,10:00,3404,NEVP
1/1/2017,10:00,5098,PACE
1/1/2017,10:00,3023,PACW
1/1/2017,10:00,10557,PGE
1/1/2017,10:00,3672,PSEI
1/1/2017,10:00,8933,SCE
1/1/2017,10:00,1861,SDGE
1/1/2017,10:00,64,VEA
1/1/2017,11:00,2707,AZPS
1/1/2017,11:00,21211,CA ISO
1/1/2017,11:00,3387,NEVP
1/1/2017,11:00,5069,PACE
1/1/2017,11:00,2996,PACW
1/1/2017,11:00,10430,PGE
1/1/2017,11:00,3685,PSEI
1/1/2017,11:00,8861,SCE
1/1/2017,11:00,1862,SDGE
1/1/2017,11:00,58,VEA
1/1/2017,12:00,2790,AZPS
1/1/2017,12:00,21072,CA ISO
1/1/2017,12:00,3357,NEVP
1/1/2017,12:00,5000,PACE
1/1/2017,12:00,2931,PACW
1/1/2017,12:00,10243,PGE
1/1/2017,12:00,3673,PSEI
1/1/2017,12:00,8872,SCE
1/1/2017,12:00,1902,SDGE
1/1/2017,12:00,55,VEA
1/1/2017,13:00,2783,AZPS
1/1/2017,13:00,21117,CA ISO
1/1/2017,13:00,3361,NEVP
1/1/2017,13:00,4997,PACE
1/1/2017,13:00,2857,PACW
1/1/2017,13:00,10176,PGE
1/1/2017,13:00,3659,PSEI
1/1/2017,13:00,8975,SCE
1/1/2017,13:00,1914,SDGE
1/1/2017,13:00,52,VEA
1/1/2017,14:00,2721,AZPS
1/1/2017,14:00,21459,CA ISO
1/1/2017,14:00,3379,NEVP
1/1/2017,14:00,5042,PACE
1/1/2017,14:00,2830,PACW
1/1/2017,14:00,10263,PGE
1/1/2017,14:00,3621,PSEI
1/1/2017,14:00,9173,SCE
1/1/2017,14:00,1971,SDGE
1/1/2017,14:00,52,VEA
1/1/2017,15:00,2798,AZPS
1/1/2017,15:00,22047,CA ISO
1/1/2017,15:00,3447,NEVP
1/1/2017,15:00,5205,PACE
1/1/2017,15:00,2868,PACW
1/1/2017,15:00,10632,PGE
1/1/2017,15:00,3673,PSEI
1/1/2017,15:00,9322,SCE
1/1/2017,15:00,2040,SDGE
1/1/2017,15:00,53,VEA
1/1/2017,16:00,3098,AZPS
1/1/2017,16:00,23001,CA ISO
1/1/2017,16:00,3690,NEVP
1/1/2017,16:00,5567,PACE
1/1/2017,16:00,2986,PACW
1/1/2017,16:00,10858,PGE
1/1/2017,16:00,3843,PSEI
1/1/2017,16:00,9854,SCE
1/1/2017,16:00,2229,SDGE
1/1/2017,16:00,60,VEA
1/1/2017,17:00,3330,AZPS
1/1/2017,17:00,25817,CA ISO
1/1/2017,17:00,4054,NEVP
1/1/2017,17:00,5697,PACE
1/1/2017,17:00,3190,PACW
1/1/2017,17:00,11903,PGE
1/1/2017,17:00,4097,PSEI
1/1/2017,17:00,11245,SCE
1/1/2017,17:00,2599,SDGE
1/1/2017,17:00,70,VEA
1/1/2017,18:00,3299,AZPS
1/1/2017,18:00,26601,CA ISO
1/1/2017,18:00,4082,NEVP
1/1/2017,18:00,5643,PACE
1/1/2017,18:00,3190,PACW
1/1/2017,18:00,12266,PGE
1/1/2017,18:00,4058,PSEI
1/1/2017,18:00,11579,SCE
1/1/2017,18:00,2685,SDGE
1/1/2017,18:00,71,VEA
1/1/2017,19:00,3245,AZPS
1/1/2017,19:00,26431,CA ISO
1/1/2017,19:00,4063,NEVP
1/1/2017,19:00,5552,PACE
1/1/2017,19:00,3122,PACW
1/1/2017,19:00,12128,PGE
1/1/2017,19:00,3981,PSEI
1/1/2017,19:00,11579,SCE
1/1/2017,19:00,2651,SDGE
1/1/2017,19:00,73,VEA
1/1/2017,20:00,3149,AZPS
1/1/2017,20:00,25960,CA ISO
1/1/2017,20:00,4014,NEVP
1/1/2017,20:00,5421,PACE
1/1/2017,20:00,3046,PACW
1/1/2017,20:00,11882,PGE
1/1/2017,20:00,3875,PSEI
1/1/2017,20:00,11433,SCE
1/1/2017,20:00,2572,SDGE
1/1/2017,20:00,73,VEA
1/1/2017,21:00,2994,AZPS
1/1/2017,21:00,25024,CA ISO
1/1/2017,21:00,3926,NEVP
1/1/2017,21:00,5198,PACE
1/1/2017,21:00,2934,PACW
1/1/2017,21:00,11442,PGE
1/1/2017,21:00,3713,PSEI
1/1/2017,21:00,11064,SCE
1/1/2017,21:00,2446,SDGE
1/1/2017,21:00,72,VEA
1/1/2017,22:00,2818,AZPS
1/1/2017,22:00,23674,CA ISO
1/1/2017,22:00,3810,NEVP
1/1/2017,22:00,4944,PACE
1/1/2017,22:00,2761,PACW
1/1/2017,22:00,10861,PGE
1/1/2017,22:00,3464,PSEI
1/1/2017,22:00,10485,SCE
1/1/2017,22:00,2258,SDGE
