Date,load,zone
1/1/18 0:00,2662,AZPS
1/1/18 0:00,21202,CA ISO
1/1/18 0:00,3519,NEVP
1/1/18 0:00,4769,PACE
1/1/18 0:00,2233,PACW
1/1/18 0:00,9613,PGE
1/1/18 0:00,2208,PGE-NEW
1/1/18 0:00,3028,PSEI
1/1/18 0:00,9494,SCE
1/1/18 0:00,2028,SDGE
1/1/18 0:00,67,VEA
1/1/18 1:00,2626,AZPS
1/1/18 1:00,20559,CA ISO
1/1/18 1:00,3451,NEVP
1/1/18 1:00,4680,PACE
1/1/18 1:00,2188,PACW
1/1/18 1:00,9448,PGE
1/1/18 1:00,2152,PGE-NEW
1/1/18 1:00,2951,PSEI
1/1/18 1:00,9115,SCE
1/1/18 1:00,1927,SDGE
1/1/18 1:00,69,VEA
1/1/18 2:00,2638,AZPS
1/1/18 2:00,20017,CA ISO
1/1/18 2:00,3412,NEVP
1/1/18 2:00,4655,PACE
1/1/18 2:00,2159,PACW
1/1/18 2:00,9279,PGE
1/1/18 2:00,2121,PGE-NEW
1/1/18 2:00,2905,PSEI
1/1/18 2:00,8815,SCE
1/1/18 2:00,1852,SDGE
1/1/18 2:00,71,VEA
1/1/18 3:00,2694,AZPS
1/1/18 3:00,19629,CA ISO
1/1/18 3:00,3386,NEVP
1/1/18 3:00,4671,PACE
1/1/18 3:00,2160,PACW
1/1/18 3:00,9114,PGE
1/1/18 3:00,2122,PGE-NEW
1/1/18 3:00,2917,PSEI
1/1/18 3:00,8629,SCE
1/1/18 3:00,1813,SDGE
1/1/18 3:00,73,VEA
1/1/18 4:00,2797,AZPS
1/1/18 4:00,19613,CA ISO
1/1/18 4:00,3398,NEVP
1/1/18 4:00,4723,PACE
1/1/18 4:00,2207,PACW
1/1/18 4:00,9117,PGE
1/1/18 4:00,2168,PGE-NEW
1/1/18 4:00,2997,PSEI
1/1/18 4:00,8602,SCE
1/1/18 4:00,1817,SDGE
1/1/18 4:00,77,VEA
1/1/18 5:00,2921,AZPS
1/1/18 5:00,20005,CA ISO
1/1/18 5:00,3448,NEVP
1/1/18 5:00,4828,PACE
1/1/18 5:00,2302,PACW
1/1/18 5:00,9299,PGE
1/1/18 5:00,2264,PGE-NEW
1/1/18 5:00,3150,PSEI
1/1/18 5:00,8756,SCE
1/1/18 5:00,1867,SDGE
