time,local_time,electricity
1/1/2015 8:00,1/1/2015 0:00,0
1/1/2015 9:00,1/1/2015 1:00,0
1/1/2015 10:00,1/1/2015 2:00,0
1/1/2015 11:00,1/1/2015 3:00,0
1/1/2015 12:00,1/1/2015 4:00,0
1/1/2015 13:00,1/1/2015 5:00,0
1/1/2015 14:00,1/1/2015 6:00,0
1/1/2015 15:00,1/1/2015 7:00,0.184
1/1/2015 16:00,1/1/2015 8:00,0.452
1/1/2015 17:00,1/1/2015 9:00,0.635
1/1/2015 18:00,1/1/2015 10:00,0.741
1/1/2015 19:00,1/1/2015 11:00,0.787
1/1/2015 20:00,1/1/2015 12:00,0.774
1/1/2015 21:00,1/1/2015 13:00,0.703
1/1/2015 22:00,1/1/2015 14:00,0.569
1/1/2015 23:00,1/1/2015 15:00,0.358
1/2/2015 0:00,1/1/2015 16:00,0.099
1/2/2015 1:00,1/1/2015 17:00,0
1/2/2015 2:00,1/1/2015 18:00,0
1/2/2015 3:00,1/1/2015 19:00,0
1/2/2015 4:00,1/1/2015 20:00,0
1/2/2015 5:00,1/1/2015 21:00,0
1/2/2015 6:00,1/1/2015 22:00,0
1/2/2015 7:00,1/1/2015 23:00,0
1/2/2015 8:00,1/2/2015 0:00,0
1/2/2015 9:00,1/2/2015 1:00,0
1/2/2015 10:00,1/2/2015 2:00,0
1/2/2015 11:00,1/2/2015 3:00,0
1/2/2015 12:00,1/2/2015 4:00,0
1/2/2015 13:00,1/2/2015 5:00,0
1/2/2015 14:00,1/2/2015 6:00,0
1/2/2015 15:00,1/2/2015 7:00,0.166
1/2/2015 16:00,1/2/2015 8:00,0.427
1/2/2015 17:00,1/2/2015 9:00,0.61
1/2/2015 18:00,1/2/2015 10:00,0.717
1/2/2015 19:00,1/2/2015 11:00,0.762
1/2/2015 20:00,1/2/2015 12:00,0.751
1/2/2015 21:00,1/2/2015 13:00,0.687
1/2/2015 22:00,1/2/2015 14:00,0.555
1/2/2015 23:00,1/2/2015 15:00,0.342
1/3/2015 0:00,1/2/2015 16:00,0.09
1/3/2015 1:00,1/2/2015 17:00,0
1/3/2015 2:00,1/2/2015 18:00,0
1/3/2015 3:00,1/2/2015 19:00,0
1/3/2015 4:00,1/2/2015 20:00,0
1/3/2015 5:00,1/2/2015 21:00,0
1/3/2015 6:00,1/2/2015 22:00,0
1/3/2015 7:00,1/2/2015 23:00,0
1/3/2015 8:00,1/3/2015 0:00,0
1/3/2015 9:00,1/3/2015 1:00,0
1/3/2015 10:00,1/3/2015 2:00,0
1/3/2015 11:00,1/3/2015 3:00,0
1/3/2015 12:00,1/3/2015 4:00,0
1/3/2015 13:00,1/3/2015 5:00,0
1/3/2015 14:00,1/3/2015 6:00,0
1/3/2015 15:00,1/3/2015 7:00,0.154
1/3/2015 16:00,1/3/2015 8:00,0.411
1/3/2015 17:00,1/3/2015 9:00,0.593
1/3/2015 18:00,1/3/2015 10:00,0.704
1/3/2015 19:00,1/3/2015 11:00,0.75
1/3/2015 20:00,1/3/2015 12:00,0.737
1/3/2015 21:00,1/3/2015 13:00,0.667
1/3/2015 22:00,1/3/2015 14:00,0.533
1/3/2015 23:00,1/3/2015 15:00,0.325
1/4/2015 0:00,1/3/2015 16:00,0.078
1/4/2015 1:00,1/3/2015 17:00,0
1/4/2015 2:00,1/3/2015 18:00,0
1/4/2015 3:00,1/3/2015 19:00,0
1/4/2015 4:00,1/3/2015 20:00,0
1/4/2015 5:00,1/3/2015 21:00,0
1/4/2015 6:00,1/3/2015 22:00,0
1/4/2015 7:00,1/3/2015 23:00,0
1/4/2015 8:00,1/4/2015 0:00,0
1/4/2015 9:00,1/4/2015 1:00,0
1/4/2015 10:00,1/4/2015 2:00,0
1/4/2015 11:00,1/4/2015 3:00,0
1/4/2015 12:00,1/4/2015 4:00,0
1/4/2015 13:00,1/4/2015 5:00,0
1/4/2015 14:00,1/4/2015 6:00,0
1/4/2015 15:00,1/4/2015 7:00,0.133
1/4/2015 16:00,1/4/2015 8:00,0.346
1/4/2015 17:00,1/4/2015 9:00,0.407
1/4/2015 18:00,1/4/2015 10:00,0.359
1/4/2015 19:00,1/4/2015 11:00,0.324
1/4/2015 20:00,1/4/2015 12:00,0.269
1/4/2015 21:00,1/4/2015 13:00,0.344
1/4/2015 22:00,1/4/2015 14:00,0.469
1/4/2015 23:00,1/4/2015 15:00,0.302
1/5/2015 0:00,1/4/2015 16:00,0.093
1/5/2015 1:00,1/4/2015 17:00,0
1/5/2015 2:00,1/4/2015 18:00,0
1/5/2015 3:00,1/4/2015 19:00,0
1/5/2015 4:00,1/4/2015 20:00,0
1/5/2015 5:00,1/4/2015 21:00,0
1/5/2015 6:00,1/4/2015 22:00,0
1/5/2015 7:00,1/4/2015 23:00,0
1/5/2015 8:00,1/5/2015 0:00,0
1/5/2015 9:00,1/5/2015 1:00,0
1/5/2015 10:00,1/5/2015 2:00,0
1/5/2015 11:00,1/5/2015 3:00,0
1/5/2015 12:00,1/5/2015 4:00,0
1/5/2015 13:00,1/5/2015 5:00,0
1/5/2015 14:00,1/5/2015 6:00,0
1/5/2015 15:00,1/5/2015 7:00,0.157
1/5/2015 16:00,1/5/2015 8:00,0.401
1/5/2015 17:00,1/5/2015 9:00,0.575
1/5/2015 18:00,1/5/2015 10:00,0.676
1/5/2015 19:00,1/5/2015 11:00,0.716
1/5/2015 20:00,1/5/2015 12:00,0.704
1/5/2015 21:00,1/5/2015 13:00,0.642
1/5/2015 22:00,1/5/2015 14:00,0.517
1/5/2015 23:00,1/5/2015 15:00,0.323
1/6/2015 0:00,1/5/2015 16:00,0.096
1/6/2015 1:00,1/5/2015 17:00,0
1/6/2015 2:00,1/5/2015 18:00,0
1/6/2015 3:00,1/5/2015 19:00,0
1/6/2015 4:00,1/5/2015 20:00,0
1/6/2015 5:00,1/5/2015 21:00,0
1/6/2015 6:00,1/5/2015 22:00,0
1/6/2015 7:00,1/5/2015 23:00,0
1/6/2015 8:00,1/6/2015 0:00,0
1/6/2015 9:00,1/6/2015 1:00,0
1/6/2015 10:00,1/6/2015 2:00,0
1/6/2015 11:00,1/6/2015 3:00,0
1/6/2015 12:00,1/6/2015 4:00,0
1/6/2015 13:00,1/6/2015 5:00,0
1/6/2015 14:00,1/6/2015 6:00,0
1/6/2015 15:00,1/6/2015 7:00,0.173
1/6/2015 16:00,1/6/2015 8:00,0.418
1/6/2015 17:00,1/6/2015 9:00,0.587
1/6/2015 18:00,1/6/2015 10:00,0.688
1/6/2015 19:00,1/6/2015 11:00,0.727
1/6/2015 20:00,1/6/2015 12:00,0.714
1/6/2015 21:00,1/6/2015 13:00,0.649
1/6/2015 22:00,1/6/2015 14:00,0.525
1/6/2015 23:00,1/6/2015 15:00,0.33
1/7/2015 0:00,1/6/2015 16:00,0.093
1/7/2015 1:00,1/6/2015 17:00,0
1/7/2015 2:00,1/6/2015 18:00,0
1/7/2015 3:00,1/6/2015 19:00,0
1/7/2015 4:00,1/6/2015 20:00,0
1/7/2015 5:00,1/6/2015 21:00,0
1/7/2015 6:00,1/6/2015 22:00,0
1/7/2015 7:00,1/6/2015 23:00,0
1/7/2015 8:00,1/7/2015 0:00,0
1/7/2015 9:00,1/7/2015 1:00,0
1/7/2015 10:00,1/7/2015 2:00,0
1/7/2015 11:00,1/7/2015 3:00,0
1/7/2015 12:00,1/7/2015 4:00,0
1/7/2015 13:00,1/7/2015 5:00,0
1/7/2015 14:00,1/7/2015 6:00,0
1/7/2015 15:00,1/7/2015 7:00,0.057
1/7/2015 16:00,1/7/2015 8:00,0.189
1/7/2015 17:00,1/7/2015 9:00,0.363
1/7/2015 18:00,1/7/2015 10:00,0.545
1/7/2015 19:00,1/7/2015 11:00,0.64
1/7/2015 20:00,1/7/2015 12:00,0.65
1/7/2015 21:00,1/7/2015 13:00,0.597
1/7/2015 22:00,1/7/2015 14:00,0.459
1/7/2015 23:00,1/7/2015 15:00,0.263
1/8/2015 0:00,1/7/2015 16:00,0.06
1/8/2015 1:00,1/7/2015 17:00,0
1/8/2015 2:00,1/7/2015 18:00,0
1/8/2015 3:00,1/7/2015 19:00,0
1/8/2015 4:00,1/7/2015 20:00,0
1/8/2015 5:00,1/7/2015 21:00,0
1/8/2015 6:00,1/7/2015 22:00,0
1/8/2015 7:00,1/7/2015 23:00,0
1/8/2015 8:00,1/8/2015 0:00,0
1/8/2015 9:00,1/8/2015 1:00,0
1/8/2015 10:00,1/8/2015 2:00,0
1/8/2015 11:00,1/8/2015 3:00,0
1/8/2015 12:00,1/8/2015 4:00,0
1/8/2015 13:00,1/8/2015 5:00,0
1/8/2015 14:00,1/8/2015 6:00,0
1/8/2015 15:00,1/8/2015 7:00,0.024
1/8/2015 16:00,1/8/2015 8:00,0.134
1/8/2015 17:00,1/8/2015 9:00,0.367
1/8/2015 18:00,1/8/2015 10:00,0.522
1/8/2015 19:00,1/8/2015 11:00,0.565
1/8/2015 20:00,1/8/2015 12:00,0.528
1/8/2015 21:00,1/8/2015 13:00,0.43
1/8/2015 22:00,1/8/2015 14:00,0.281
1/8/2015 23:00,1/8/2015 15:00,0.135
1/9/2015 0:00,1/8/2015 16:00,0.02
1/9/2015 1:00,1/8/2015 17:00,0
1/9/2015 2:00,1/8/2015 18:00,0
1/9/2015 3:00,1/8/2015 19:00,0
1/9/2015 4:00,1/8/2015 20:00,0
1/9/2015 5:00,1/8/2015 21:00,0
1/9/2015 6:00,1/8/2015 22:00,0
1/9/2015 7:00,1/8/2015 23:00,0
1/9/2015 8:00,1/9/2015 0:00,0
1/9/2015 9:00,1/9/2015 1:00,0
1/9/2015 10:00,1/9/2015 2:00,0
1/9/2015 11:00,1/9/2015 3:00,0
1/9/2015 12:00,1/9/2015 4:00,0
1/9/2015 13:00,1/9/2015 5:00,0
1/9/2015 14:00,1/9/2015 6:00,0
1/9/2015 15:00,1/9/2015 7:00,0.015
1/9/2015 16:00,1/9/2015 8:00,0.087
1/9/2015 17:00,1/9/2015 9:00,0.206
1/9/2015 18:00,1/9/2015 10:00,0.319
1/9/2015 19:00,1/9/2015 11:00,0.382
1/9/2015 20:00,1/9/2015 12:00,0.356
1/9/2015 21:00,1/9/2015 13:00,0.297
1/9/2015 22:00,1/9/2015 14:00,0.246
1/9/2015 23:00,1/9/2015 15:00,0.165
1/10/2015 0:00,1/9/2015 16:00,0.04
