time,local_time,electricity
1/1/2017 8:00,1/1/2017 0:00,0.27
1/1/2017 9:00,1/1/2017 1:00,0.308
1/1/2017 10:00,1/1/2017 2:00,0.337
1/1/2017 11:00,1/1/2017 3:00,0.396
1/1/2017 12:00,1/1/2017 4:00,0.416
1/1/2017 13:00,1/1/2017 5:00,0.348
1/1/2017 14:00,1/1/2017 6:00,0.27
1/1/2017 15:00,1/1/2017 7:00,0.297
1/1/2017 16:00,1/1/2017 8:00,0.261
1/1/2017 17:00,1/1/2017 9:00,0.315
1/1/2017 18:00,1/1/2017 10:00,0.341
1/1/2017 19:00,1/1/2017 11:00,0.306
1/1/2017 20:00,1/1/2017 12:00,0.289
1/1/2017 21:00,1/1/2017 13:00,0.255
1/1/2017 22:00,1/1/2017 14:00,0.201
1/1/2017 23:00,1/1/2017 15:00,0.164
1/2/2017 0:00,1/1/2017 16:00,0.212
1/2/2017 1:00,1/1/2017 17:00,0.362
1/2/2017 2:00,1/1/2017 18:00,0.445
1/2/2017 3:00,1/1/2017 19:00,0.407
1/2/2017 4:00,1/1/2017 20:00,0.376
1/2/2017 5:00,1/1/2017 21:00,0.344
1/2/2017 6:00,1/1/2017 22:00,0.257
1/2/2017 7:00,1/1/2017 23:00,0.207
1/2/2017 8:00,1/2/2017 0:00,0.184
1/2/2017 9:00,1/2/2017 1:00,0.184
1/2/2017 10:00,1/2/2017 2:00,0.174
1/2/2017 11:00,1/2/2017 3:00,0.192
1/2/2017 12:00,1/2/2017 4:00,0.188
1/2/2017 13:00,1/2/2017 5:00,0.203
1/2/2017 14:00,1/2/2017 6:00,0.271
1/2/2017 15:00,1/2/2017 7:00,0.285
1/2/2017 16:00,1/2/2017 8:00,0.273
1/2/2017 17:00,1/2/2017 9:00,0.271
1/2/2017 18:00,1/2/2017 10:00,0.343
1/2/2017 19:00,1/2/2017 11:00,0.461
1/2/2017 20:00,1/2/2017 12:00,0.544
1/2/2017 21:00,1/2/2017 13:00,0.544
1/2/2017 22:00,1/2/2017 14:00,0.489
1/2/2017 23:00,1/2/2017 15:00,0.413
1/3/2017 0:00,1/2/2017 16:00,0.401
1/3/2017 1:00,1/2/2017 17:00,0.478
1/3/2017 2:00,1/2/2017 18:00,0.516
1/3/2017 3:00,1/2/2017 19:00,0.489
1/3/2017 4:00,1/2/2017 20:00,0.488
1/3/2017 5:00,1/2/2017 21:00,0.415
1/3/2017 6:00,1/2/2017 22:00,0.344
1/3/2017 7:00,1/2/2017 23:00,0.312
1/3/2017 8:00,1/3/2017 0:00,0.28
1/3/2017 9:00,1/3/2017 1:00,0.185
1/3/2017 10:00,1/3/2017 2:00,0.169
1/3/2017 11:00,1/3/2017 3:00,0.188
1/3/2017 12:00,1/3/2017 4:00,0.188
1/3/2017 13:00,1/3/2017 5:00,0.211
1/3/2017 14:00,1/3/2017 6:00,0.238
1/3/2017 15:00,1/3/2017 7:00,0.259
1/3/2017 16:00,1/3/2017 8:00,0.261
1/3/2017 17:00,1/3/2017 9:00,0.263
1/3/2017 18:00,1/3/2017 10:00,0.285
1/3/2017 19:00,1/3/2017 11:00,0.395
1/3/2017 20:00,1/3/2017 12:00,0.583
1/3/2017 21:00,1/3/2017 13:00,0.72
1/3/2017 22:00,1/3/2017 14:00,0.806
1/3/2017 23:00,1/3/2017 15:00,0.876
1/4/2017 0:00,1/3/2017 16:00,0.943
1/4/2017 1:00,1/3/2017 17:00,0.969
1/4/2017 2:00,1/3/2017 18:00,0.973
1/4/2017 3:00,1/3/2017 19:00,0.971
1/4/2017 4:00,1/3/2017 20:00,0.973
1/4/2017 5:00,1/3/2017 21:00,0.976
1/4/2017 6:00,1/3/2017 22:00,0.98
1/4/2017 7:00,1/3/2017 23:00,0.978
1/4/2017 8:00,1/4/2017 0:00,0.977
1/4/2017 9:00,1/4/2017 1:00,0.964
1/4/2017 10:00,1/4/2017 2:00,0.905
1/4/2017 11:00,1/4/2017 3:00,0.76
1/4/2017 12:00,1/4/2017 4:00,0.623
1/4/2017 13:00,1/4/2017 5:00,0.547
1/4/2017 14:00,1/4/2017 6:00,0.361
1/4/2017 15:00,1/4/2017 7:00,0.272
1/4/2017 16:00,1/4/2017 8:00,0.213
1/4/2017 17:00,1/4/2017 9:00,0.164
1/4/2017 18:00,1/4/2017 10:00,0.107
1/4/2017 19:00,1/4/2017 11:00,0.086
1/4/2017 20:00,1/4/2017 12:00,0.067
1/4/2017 21:00,1/4/2017 13:00,0.012
1/4/2017 22:00,1/4/2017 14:00,0
1/4/2017 23:00,1/4/2017 15:00,0.001
1/5/2017 0:00,1/4/2017 16:00,0.002
1/5/2017 1:00,1/4/2017 17:00,0.006
1/5/2017 2:00,1/4/2017 18:00,0.017
1/5/2017 3:00,1/4/2017 19:00,0.037
1/5/2017 4:00,1/4/2017 20:00,0.041
1/5/2017 5:00,1/4/2017 21:00,0.039
1/5/2017 6:00,1/4/2017 22:00,0.033
1/5/2017 7:00,1/4/2017 23:00,0.034
1/5/2017 8:00,1/5/2017 0:00,0.041
1/5/2017 9:00,1/5/2017 1:00,0.05
1/5/2017 10:00,1/5/2017 2:00,0.044
1/5/2017 11:00,1/5/2017 3:00,0.035
1/5/2017 12:00,1/5/2017 4:00,0.034
1/5/2017 13:00,1/5/2017 5:00,0.031
1/5/2017 14:00,1/5/2017 6:00,0.021
1/5/2017 15:00,1/5/2017 7:00,0.006
1/5/2017 16:00,1/5/2017 8:00,0.002
1/5/2017 17:00,1/5/2017 9:00,0.001
1/5/2017 18:00,1/5/2017 10:00,0
1/5/2017 19:00,1/5/2017 11:00,0
1/5/2017 20:00,1/5/2017 12:00,0
1/5/2017 21:00,1/5/2017 13:00,0
1/5/2017 22:00,1/5/2017 14:00,0.003
1/5/2017 23:00,1/5/2017 15:00,0.013
